alias,school
Appalachian State,App State
FIU,Florida International
Miami FL,Miami
San Jose State,San José State
ULM,UL Monroe
UMass,Massachusetts
Connecticut,UConn
FAU,Florida Atlantic
La. Tech,Louisiana Tech
Louisiana-Monroe,UL Monroe
ODU,Old Dominion
Pitt,Pittsburgh
SDSU,San Diego State
Sam Houston State,Sam Houston
Arizona St.,Arizona State
Arkansas St.,Arkansas State
Army West Point,Army
Ball St.,Ball State
Boise St.,Boise State
Central Mich.,Central Michigan
Colorado St.,Colorado State
Eastern Mich.,Eastern Michigan
Fla. Atlantic,Florida Atlantic
Florida St.,Florida State
Fresno St.,Fresno State
Ga. Southern,Georgia Southern
Georgia St.,Georgia State
Iowa St.,Iowa State
Jacksonville St.,Jacksonville State
Kansas St.,Kansas State
Kennesaw St.,Kennesaw State
Kent St.,Kent State
Miami (FL),Miami
Michigan St.,Michigan State
Middle Tenn.,Middle Tennessee
Mississippi St.,Mississippi State
NIU,Northern Illinois
New Mexico St.,New Mexico State
Ohio St.,Ohio State
Oklahoma St.,Oklahoma State
Oregon St.,Oregon State
Penn St.,Penn State
San Diego St.,San Diego State
San Jose St.,San José State
South Fla.,South Florida
Southern California,USC
Texas St.,Texas State
Utah St.,Utah State
Washington St.,Washington State
Western Ky.,Western Kentucky
Western Mich.,Western Michigan
Missouri St.,Missouri State
