season,school,win_total,over_odds,under_odds,source
2025,Air Force,5.5,-170,135,SportsBettingDime
2025,Akron,4.5,120,-150,SportsBettingDime
2025,Alabama,9.5,-125,105,SportsBettingDime
2025,Appalachian State,5.5,-160,125,SportsBettingDime
2025,Arizona,4.5,-180,145,SportsBettingDime
2025,Arizona State,8.5,-105,-115,SportsBettingDime
2025,Arkansas,5.5,110,-130,SportsBettingDime
2025,Arkansas State,5.5,125,-160,SportsBettingDime
2025,Auburn,7.5,-160,135,SportsBettingDime
2025,Ball State,3.5,-140,110,SportsBettingDime
2025,Baylor,7.5,-105,-115,SportsBettingDime
2025,Boise State,9.5,-180,140,SportsBettingDime
2025,Boston College,5.5,100,-120,SportsBettingDime
2025,Bowling Green,6.5,150,-190,SportsBettingDime
2025,BYU,6.5,-135,115,SportsBettingDime
2025,California,5.5,110,-130,SportsBettingDime
2025,Central Michigan,5.5,110,-140,SportsBettingDime
2025,Charlotte,2.5,-150,120,SportsBettingDime
2025,Cincinnati,6.5,110,-130,SportsBettingDime
2025,Clemson,9.5,-170,140,SportsBettingDime
2025,Coastal Carolina,5.5,-110,-120,SportsBettingDime
2025,Colorado,6.5,145,-170,SportsBettingDime
2025,Colorado State,6.5,125,-155,SportsBettingDime
2025,Delaware,4.5,-160,125,SportsBettingDime
2025,Duke,6.5,-160,135,SportsBettingDime
2025,East Carolina,6.5,120,-150,SportsBettingDime
2025,Eastern Michigan,4.5,-105,-125,SportsBettingDime
2025,FIU,5.5,-115,-115,SportsBettingDime
2025,Florida,7.5,115,-135,SportsBettingDime
2025,Florida Atlantic,4.5,105,-135,SportsBettingDime
2025,Florida State,6.5,-150,125,SportsBettingDime
2025,Fresno State,6.5,-130,100,SportsBettingDime
2025,Georgia,9.5,-170,140,SportsBettingDime
2025,Georgia Southern,7.5,-105,-125,SportsBettingDime
2025,Georgia State,3.5,-120,-110,SportsBettingDime
2025,Georgia Tech,7.5,-150,125,SportsBettingDime
2025,Hawaii,6.5,125,-160,SportsBettingDime
2025,Houston,6.5,120,-140,SportsBettingDime
2025,Illinois,7.5,-160,135,SportsBettingDime
2025,Indiana,8.5,115,-135,SportsBettingDime
2025,Iowa,7.5,135,-165,SportsBettingDime
2025,Iowa State,7.5,115,-135,SportsBettingDime
2025,Jacksonville State,5.5,-115,-115,SportsBettingDime
2025,James Madison,7.5,-160,125,SportsBettingDime
2025,Kansas,6.5,-155,130,SportsBettingDime
2025,Kansas State,8.5,-115,-105,SportsBettingDime
2025,Kennesaw State,3.5,-150,120,SportsBettingDime
2025,Kent State,1.5,-180,140,SportsBettingDime
2025,Kentucky,4.5,-115,-105,SportsBettingDime
2025,Liberty,9.5,110,-140,SportsBettingDime
2025,Louisiana,7.5,-115,-115,SportsBettingDime
2025,Louisiana Tech,5.5,-175,135,SportsBettingDime
2025,Louisville,8.5,-130,110,SportsBettingDime
2025,LSU,8.5,-140,120,SportsBettingDime
2025,Marshall,5.5,140,-180,SportsBettingDime
2025,Maryland,4.5,110,-130,SportsBettingDime
2025,Memphis,8.5,115,-145,SportsBettingDime
2025,Miami FL,9.5,135,-160,SportsBettingDime
2025,Miami OH,6.5,110,-140,SportsBettingDime
2025,Michigan,8.5,-160,135,SportsBettingDime
2025,Michigan State,5.5,-135,115,SportsBettingDime
2025,Middle Tennessee,4.5,-150,120,SportsBettingDime
2025,Minnesota,7.5,130,-155,SportsBettingDime
2025,Mississippi State,3.5,-160,135,SportsBettingDime
2025,Missouri,7.5,130,-155,SportsBettingDime
2025,Missouri State,4.5,-135,105,SportsBettingDime
2025,Navy,8.5,-125,-105,SportsBettingDime
2025,NC State,6.5,125,-150,SportsBettingDime
2025,Nebraska,7.5,-130,110,SportsBettingDime
2025,Nevada,3.5,-150,120,SportsBettingDime
2025,New Mexico,3.5,105,-135,SportsBettingDime
2025,New Mexico State,4.5,-150,120,SportsBettingDime
2025,North Carolina,7.5,140,-165,SportsBettingDime
2025,North Texas,6.5,-110,-120,SportsBettingDime
2025,Northern Illinois,6.5,130,-165,SportsBettingDime
2025,Northwestern,3.5,-180,140,SportsBettingDime
2025,Notre Dame,10.5,125,-150,SportsBettingDime
2025,Ohio,7.5,100,-130,SportsBettingDime
2025,Ohio State,10.5,120,-140,SportsBettingDime
2025,Oklahoma,6.5,-170,140,SportsBettingDime
2025,Oklahoma State,4.5,-170,140,SportsBettingDime
2025,Old Dominion,6.5,130,-165,SportsBettingDime
2025,Ole Miss,8.5,-120,100,SportsBettingDime
2025,Oregon,10.5,120,-140,SportsBettingDime
2025,Oregon State,6.5,-170,135,SportsBettingDime
2025,Penn State,10.5,125,-150,SportsBettingDime
2025,Pittsburgh,6.5,135,-160,SportsBettingDime
2025,Purdue,2.5,-180,150,SportsBettingDime
2025,Rice,3.5,-140,110,SportsBettingDime
2025,Rutgers,5.5,-125,105,SportsBettingDime
2025,Sam Houston,4.5,-140,110,SportsBettingDime
2025,San Diego State,4.5,-140,110,SportsBettingDime
2025,San Jose State,7.5,-125,-105,SportsBettingDime
2025,SMU,8.5,-105,-115,SportsBettingDime
2025,South Alabama,7.5,140,-180,SportsBettingDime
2025,South Carolina,7.5,125,-150,SportsBettingDime
2025,South Florida,6.5,110,-140,SportsBettingDime
2025,Southern Miss,4.5,-180,140,SportsBettingDime
2025,Stanford,3.5,130,-150,SportsBettingDime
2025,TCU,6.5,-160,135,SportsBettingDime
2025,Temple,3.5,105,-135,SportsBettingDime
2025,Tennessee,8.5,115,-135,SportsBettingDime
2025,Texas,9.5,-170,140,SportsBettingDime
2025,Texas A&M,8.5,125,-150,SportsBettingDime
2025,Texas State,7.5,125,-160,SportsBettingDime
2025,Texas Tech,8.5,-120,100,SportsBettingDime
2025,Toledo,8.5,-115,-115,SportsBettingDime
2025,Troy,5.5,-115,-115,SportsBettingDime
2025,Tulane,8.5,105,-135,SportsBettingDime
2025,Tulsa,2.5,-190,145,SportsBettingDime
2025,UAB,4.5,120,-150,SportsBettingDime
2025,UCF,5.5,-120,100,SportsBettingDime
2025,UCLA,5.5,115,-135,SportsBettingDime
2025,UConn,7.5,100,-130,SportsBettingDime
2025,ULM,4.5,-125,-105,SportsBettingDime
2025,UMass,3.5,-135,105,SportsBettingDime
2025,UNLV,8.5,-105,-125,SportsBettingDime
2025,USC,7.5,-135,115,SportsBettingDime
2025,Utah,7.5,-175,135,SportsBettingDime
2025,Utah State,4.5,110,-140,SportsBettingDime
2025,UTEP,5.5,110,-140,SportsBettingDime
2025,UTSA,7.5,-135,105,SportsBettingDime
2025,Vanderbilt,5.5,130,-155,SportsBettingDime
2025,Virginia,6.5,115,-135,SportsBettingDime
2025,Virginia Tech,6.5,125,-150,SportsBettingDime
2025,Wake Forest,4.5,105,-125,SportsBettingDime
2025,Washington,7.5,110,-130,SportsBettingDime
2025,Washington State,5.5,130,-160,SportsBettingDime
2025,West Virginia,5.5,110,-140,SportsBettingDime
2025,Western Kentucky,7.5,-125,-105,SportsBettingDime
2025,Western Michigan,5.5,120,-150,SportsBettingDime
2025,Wisconsin,5.5,125,-150,SportsBettingDime
2025,Wyoming,5.5,120,-150,SportsBettingDime
2024,Alabama,9.5,120,-140,SportsBettingDime
2024,Arizona,8.0,120,-140,SportsBettingDime
2024,Arizona State,4.5,135,-160,SportsBettingDime
2024,Arkansas,4.5,-110,-110,SportsBettingDime
2024,Auburn,7.5,125,-145,SportsBettingDime
2024,Baylor,5.5,100,-120,SportsBettingDime
2024,Boston College,5.0,110,-130,SportsBettingDime
2024,BYU,4.5,105,-125,SportsBettingDime
2024,California,6.0,-105,-115,SportsBettingDime
2024,Cincinnati,5.0,-160,135,SportsBettingDime
2024,Clemson,9.5,135,-160,SportsBettingDime
2024,Colorado,5.5,-140,120,SportsBettingDime
2024,Duke,5.5,130,-150,SportsBettingDime
2024,Florida,4.5,-155,130,SportsBettingDime
2024,Florida State,9.5,-110,-110,SportsBettingDime
2024,Georgia,10.5,-120,100,SportsBettingDime
2024,Georgia Tech,5.0,-120,100,SportsBettingDime
2024,Houston,3.5,-160,135,SportsBettingDime
2024,Illinois,5.5,100,-120,SportsBettingDime
2024,Indiana,5.5,-110,-110,SportsBettingDime
2024,Iowa,8.0,-115,-105,SportsBettingDime
2024,Iowa State,7.5,-115,-105,SportsBettingDime
2024,Kansas,8.0,-125,105,SportsBettingDime
2024,Kansas State,9.5,125,-145,SportsBettingDime
2024,Kentucky,6.5,-115,-105,SportsBettingDime
2024,Louisville,8.5,115,-135,SportsBettingDime
2024,LSU,9.0,-120,100,SportsBettingDime
2024,Maryland,6.5,105,-125,SportsBettingDime
2024,Miami,9.0,-125,105,SportsBettingDime
2024,Michigan,9.0,115,-135,SportsBettingDime
2024,Michigan State,5.0,-105,-115,SportsBettingDime
2024,Minnesota,5.0,-160,135,SportsBettingDime
2024,Mississippi State,4.0,-150,130,SportsBettingDime
2024,Missouri,9.5,135,-160,SportsBettingDime
2024,Nebraska,7.5,-120,100,SportsBettingDime
2024,North Carolina,7.5,-115,-105,SportsBettingDime
2024,NC State,8.5,-130,110,SportsBettingDime
2024,Northwestern,4.5,-135,115,SportsBettingDime
2024,Notre Dame,10.0,-110,-110,SportsBettingDime
2024,Ohio State,10.5,-150,125,SportsBettingDime
2024,Oklahoma,7.5,-115,-105,SportsBettingDime
2024,Oklahoma State,8.0,-130,110,SportsBettingDime
2024,Ole Miss,9.5,-115,-105,SportsBettingDime
2024,Oregon,10.5,100,-120,SportsBettingDime
2024,Oregon State,7.5,105,-125,SportsBettingDime
2024,Penn State,10.5,140,-165,SportsBettingDime
2024,Pittsburgh,5.5,100,-120,SportsBettingDime
2024,Purdue,4.5,130,-150,SportsBettingDime
2024,Rutgers,4.5,100,-120,SportsBettingDime
2024,South Carolina,5.5,-115,-105,SportsBettingDime
2024,Stanford,3.5,-160,135,SportsBettingDime
2024,Syracuse,7.0,-120,100,SportsBettingDime
2024,TCU,7.5,120,-140,SportsBettingDime
2024,Tennessee,8.5,-170,145,SportsBettingDime
2024,Texas,10.5,140,-170,SportsBettingDime
2024,Texas A&M,8.5,-120,100,SportsBettingDime
2024,Texas Tech,7.5,-120,100,SportsBettingDime
2024,UCF,7.5,-115,-105,SportsBettingDime
2024,UCLA,5.0,-125,105,SportsBettingDime
2024,USC,7.0,-125,105,SportsBettingDime
2024,Utah,9.5,-145,125,SportsBettingDime
2024,Vanderbilt,3.0,-125,105,SportsBettingDime
2024,Virginia,4.5,100,-120,SportsBettingDime
2024,Virginia Tech,8.5,105,-125,SportsBettingDime
2024,Wake Forest,4.5,-160,135,SportsBettingDime
2024,Washington,6.5,-105,-115,SportsBettingDime
2024,Washington State,7.5,-120,100,SportsBettingDime
2024,West Virginia,6.5,-130,110,SportsBettingDime
2024,Wisconsin,7.0,-105,-115,SportsBettingDime
2023,Alabama,10.5,150,-175,SportsBettingDime
2023,Arizona,5.0,100,-120,SportsBettingDime
2023,Arizona State,5.0,135,-160,SportsBettingDime
2023,Arkansas,7.0,125,-145,SportsBettingDime
2023,Auburn,6.5,-135,115,SportsBettingDime
2023,Baylor,7.0,-120,100,SportsBettingDime
2023,Boston College,5.5,-125,105,SportsBettingDime
2023,BYU,5.5,-110,-110,SportsBettingDime
2023,California,5.0,-130,110,SportsBettingDime
2023,Cincinnati,5.5,140,-165,SportsBettingDime
2023,Clemson,10.0,-105,-115,SportsBettingDime
2023,Colorado,3.5,120,-140,SportsBettingDime
2023,Duke,6.5,130,-150,SportsBettingDime
2023,Florida,5.5,-130,110,SportsBettingDime
2023,Florida State,10.0,130,-150,SportsBettingDime
2023,Georgia,11.5,115,-135,SportsBettingDime
2023,Georgia Tech,4.5,120,-140,SportsBettingDime
