school,conference,sp_plus_2025,model_sp_plus_2026,n_games,expected_wins,betmgm_total_aug2026,edge,lean,p_ge_6,p_ge_8,p_ge_10,returning_prod_raw,returning_prod_portal_adj,ol_starts_returning_share,new_head_coach,recruit_points
Texas Tech,Big 12,27.6,22.612,12,10.658,10.5,0.16,OVER,1.0,0.994,0.861,0.53,0.739,0.6,False,250.26
Miami,ACC,20.7,23.1,12,10.144,10.5,-0.36,UNDER,1.0,0.983,0.732,0.441,1.021,0.2,False,284.61
Notre Dame,FBS Independents,24.4,22.386,12,10.069,11.5,-1.43,UNDER,1.0,0.977,0.704,0.504,0.534,0.683,False,299.28
Oregon,Big Ten,25.9,27.153,12,9.64,10.5,-0.86,UNDER,0.999,0.952,0.569,0.659,0.917,0.427,False,303.22
Georgia,SEC,24.1,24.843,12,9.466,9.5,-0.03,UNDER,0.997,0.924,0.514,0.713,0.843,0.586,False,291.98
Ohio State,Big Ten,30.1,29.491,12,9.429,9.5,-0.07,UNDER,0.997,0.925,0.499,0.676,0.828,0.803,False,301.23
Utah,Big 12,22.2,17.422,12,9.41,8.5,0.91,OVER,0.996,0.913,0.498,0.709,0.854,0.127,False,226.89
Indiana,Big Ten,32.4,22.93,12,9.175,10.5,-1.33,UNDER,0.995,0.892,0.421,0.17,0.677,0.593,False,226.46
SMU,ACC,13.4,12.769,12,8.769,8.5,0.27,OVER,0.989,0.827,0.307,0.56,0.803,0.631,False,225.82
Texas A&M,SEC,20.7,20.782,12,8.623,8.5,0.12,OVER,0.985,0.79,0.275,0.705,0.823,0.185,False,283.13
USC,Big Ten,16.9,21.013,12,8.51,8.5,0.01,OVER,0.982,0.769,0.245,0.635,0.712,0.831,False,310.67
South Florida,American Athletic,11.6,1.965,12,8.498,8.5,-0.0,UNDER,0.976,0.757,0.256,0.158,0.515,0.21,True,180.12
BYU,Big 12,15.9,13.796,12,8.454,8.5,-0.05,UNDER,0.976,0.751,0.242,0.663,0.708,0.493,False,237.33
Washington,Big Ten,18.4,18.242,12,8.381,7.5,0.88,OVER,0.978,0.743,0.214,0.59,0.759,0.688,False,262.32
Ole Miss,SEC,24.0,20.582,12,8.375,7.5,0.88,OVER,0.975,0.734,0.222,0.593,0.846,0.573,False,236.72
New Mexico,Mountain West,0.9,0.795,12,8.299,7.5,0.8,OVER,0.972,0.723,0.201,0.576,0.7,0.692,False,182.61
Texas,SEC,16.2,22.975,12,8.27,9.5,-1.23,UNDER,0.967,0.705,0.207,0.62,1.112,0.523,False,291.18
UNLV,Mountain West,4.3,1.006,12,8.079,7.5,0.58,OVER,0.95,0.656,0.179,0.248,0.535,0.371,False,196.45
